Date,MSFT,AAPL
2023-04-25,271.108154296875,162.1349334716797
2023-04-26,290.74578857421875,162.12498474121094
2023-04-27,300.0577087402344,166.72857666015625
2023-04-28,302.4496765136719,167.98590087890625
2023-05-01,300.77630615234375,167.8968048095703
2023-05-02,300.628662109375,166.85728454589844
2023-05-03,299.6344299316406,165.77818298339844
2023-05-04,300.628662109375,164.13473510742188
2023-05-05,305.78656005859375,171.8370819091797
2023-05-08,303.8179016113281,171.76776123046875
2023-05-09,302.1937561035156,170.0550537109375
2023-05-10,307.4205322265625,171.82717895507812
2023-05-11,305.2550048828125,172.0152587890625
2023-05-12,304.1329040527344,171.08335876464844
2023-05-15,304.6152038574219,170.58766174316406
2023-05-16,306.8594665527344,170.58766174316406
2023-05-17,309.7597961425781,171.2023468017578
2023-05-18,314.21881103515625,173.5419921875
2023-05-19,314.0411682128906,173.65106201171875
2023-05-22,316.8428955078125,172.69932556152344
2023-05-23,311.0027770996094,170.0820770263672
2023-05-24,309.6118469238281,170.35964965820312
2023-05-25,321.5188903808594,171.499755859375
2023-05-26,328.394775390625,173.91873168945312
2023-05-30,326.7373962402344,175.77261352539062
2023-05-31,323.9555358886719,175.7230682373047
2023-06-01,328.08892822265625,178.53857421875
2023-06-02,330.8708190917969,179.39117431640625
2023-06-05,331.403564453125,178.03298950195312
2023-06-06,329.17401123046875,177.66615295410156
2023-06-07,319.0131530761719,176.28814697265625
2023-06-08,320.8677673339844,179.01446533203125
2023-06-09,322.3771057128906,179.4010772705078
2023-06-12,327.3687744140625,182.2067108154297
2023-06-13,329.77581787109375,181.73085021972656
2023-06-14,332.78466796875,182.3653106689453
2023-06-15,343.39935302734375,184.40760803222656
2023-06-16,337.70721435546875,183.32696533203125
2023-06-20,333.48504638671875,183.4161834716797
2023-06-21,329.0556640625,182.37525939941406
2023-06-22,335.12261962890625,185.38906860351562
2023-06-23,330.4959716796875,185.07180786132812
2023-06-26,324.1626281738281,183.67396545410156
2023-06-27,330.0520324707031,186.43992614746094
2023-06-28,331.3148193359375,187.6196746826172
2023-06-29,330.5255432128906,187.9567413330078
2023-06-30,335.9414367675781,192.29901123046875
2023-07-03,333.4259033203125,190.80201721191406
2023-07-05,333.58367919921875,189.6817626953125
2023-07-06,336.66156005859375,190.15762329101562
2023-07-07,332.6662902832031,189.03736877441406
2023-07-10,327.3490295410156,186.9851837158203
2023-07-11,327.9804382324219,186.45974731445312
2023-07-12,332.64654541015625,188.13519287109375
2023-07-13,338.0328063964844,188.8985595703125
2023-07-14,340.57794189453125,189.0472869873047
2023-07-17,341.0613098144531,192.31884765625
2023-07-18,354.635498046875,192.06106567382812
2023-07-19,350.2850646972656,193.41928100585938
2023-07-20,342.18597412109375,191.46624755859375
2023-07-21,339.1278076171875,190.28651428222656
2023-07-24,340.44970703125,191.08950805664062
2023-07-25,346.240478515625,191.9520263671875
2023-07-26,333.2088317871094,192.82444763183594
2023-07-27,326.2540283203125,191.55548095703125
2023-07-28,333.80072021484375,194.1430206298828
2023-07-31,331.3838195800781,194.75765991210938
2023-08-01,331.7981262207031,193.9248809814453
2023-08-02,323.0775146484375,190.92100524902344
2023-08-03,322.2489013671875,189.52313232421875
2023-08-04,323.353759765625,180.42221069335938
2023-08-07,325.6522521972656,177.30926513671875
2023-08-08,321.6470947265625,178.25108337402344
2023-08-09,317.8786926269531,176.6549530029297
2023-08-10,318.5692138671875,176.43682861328125
2023-08-11,316.6751403808594,176.4964141845703
2023-08-14,319.66424560546875,178.15426635742188
2023-08-15,317.5137023925781,176.15887451171875
2023-08-16,316.7425842285156,175.28529357910156
2023-08-17,313.2627868652344,172.73399353027344
2023-08-18,312.8673400878906,173.2204132080078
2023-08-21,318.2057189941406,174.5605926513672
2023-08-22,318.779052734375,175.9404754638672
2023-08-23,323.2672424316406,179.80218505859375
2023-08-24,316.3175048828125,175.09666442871094
2023-08-25,319.29315185546875,177.31044006347656
2023-08-28,320.00494384765625,178.87896728515625
2023-08-29,324.6612243652344,182.7803497314453
2023-08-30,325.03680419921875,186.28468322753906
2023-08-31,324.01861572265625,186.5030517578125
2023-09-01,324.9082946777344,188.08152770996094
2023-09-05,329.74249267578125,188.3197479248047
2023-09-06,329.0801086425781,181.5791473388672
2023-09-07,326.14404296875,176.26806640625
2023-09-08,330.45428466796875,176.88356018066406
2023-09-11,334.0823669433594,178.0549774169922
2023-09-12,327.9827880859375,175.0172576904297
2023-09-13,332.2238464355469,172.9424591064453
2023-09-14,334.8337097167969,174.46133422851562
2023-09-15,326.4505310058594,173.73663330078125
2023-09-18,325.3037414550781,176.6750946044922
2023-09-19,324.8984069824219,177.76710510253906
2023-09-20,317.1083679199219,174.21315002441406
2023-09-21,315.88250732421875,172.6645050048828
2023-09-22,313.3913269042969,173.51821899414062
2023-09-25,313.9152526855469,174.79884338378906
2023-09-26,308.576904296875,170.70883178710938
2023-09-27,309.2194519042969,169.18994140625
2023-09-28,310.05975341796875,169.44808959960938
2023-09-29,312.1456604003906,169.96429443359375
2023-10-02,318.1266174316406,172.4857940673828
2023-10-03,309.8126525878906,171.14564514160156
2023-10-04,315.3190612792969,172.39645385742188
2023-10-05,315.7144470214844,173.6373748779297
2023-10-06,323.5243225097656,176.19857788085938
2023-10-09,326.0550537109375,177.6876983642578
2023-10-10,324.64141845703125,177.092041015625
2023-10-11,328.6253967285156,178.49179077148438
2023-10-12,327.3797302246094,179.3951873779297
2023-10-13,323.9889221191406,177.54869079589844
2023-10-16,328.8428649902344,177.41964721679688
2023-10-17,328.2695007324219,175.86106872558594
